CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,TechSupport,PaymentMethod,MonthlyUsageGB,NumComplaints,Churn
1001,29,Female,9,60.41,543.69,One year,Fiber optic,Yes,Credit Card,164,0,No
1002,45,Female,56,88.6,4961.6,One year,DSL,Yes,Electronic Check,47,0,No
1003,22,Male,70,40.74,2851.8,One year,DSL,Yes,Cash,166,4,No
1004,35,Female,45,58.47,2631.15,One year,DSL,No,Credit Card,87,5,No
1005,39,Female,16,99.45,1591.2,Two year,DSL,No,Electronic Check,190,3,No
1006,53,Male,51,87.12,4443.12,Two year,Fiber optic,No,Bank Transfer,133,4,Yes
1007,65,Male,48,46.92,2252.16,Month-to-month,Fiber optic,No,Cash,227,0,No
1008,51,Female,6,64.68,388.08,Two year,DSL,Yes,Bank Transfer,43,1,No
1009,55,Female,71,58.57,4158.47,One year,Fiber optic,Yes,Cash,240,5,No
1010,53,Female,17,81.49,1385.33,Month-to-month,Fiber optic,No,Bank Transfer,169,3,No
1011,52,Female,46,73.15,3364.9,One year,DSL,Yes,Bank Transfer,180,4,Yes
1012,32,Female,12,103.88,1246.56,Month-to-month,DSL,Yes,Credit Card,155,0,No
1013,38,Male,32,61.49,1967.68,One year,Fiber optic,Yes,Bank Transfer,80,2,No
1014,54,Female,22,92.53,2035.66,One year,Fiber optic,No,Cash,69,0,No
1015,40,Female,50,67.47,3373.5,Month-to-month,Fiber optic,Yes,Cash,249,0,No
1016,35,Male,3,71.79,215.37,One year,Fiber optic,Yes,Cash,97,4,Yes
1017,62,Female,4,71.59,286.36,Two year,Fiber optic,Yes,Electronic Check,72,1,Yes
1018,24,Female,40,45.66,1826.4,Two year,DSL,No,Electronic Check,73,0,Yes
1019,56,Female,5,87.25,436.25,Month-to-month,DSL,No,Bank Transfer,128,0,Yes
1020,34,Female,56,87.31,4889.36,One year,Fiber optic,Yes,Electronic Check,196,3,No
1021,39,Male,3,52.56,157.68,One year,Fiber optic,Yes,Electronic Check,212,0,No
1022,45,Female,71,67.51,4793.21,Two year,DSL,Yes,Credit Card,61,1,No
1023,31,Female,22,112.88,2483.36,Two year,Fiber optic,No,Electronic Check,127,0,No
1024,39,Female,31,109.39,3391.09,Month-to-month,DSL,No,Credit Card,144,0,No
1025,45,Female,19,106.28,2019.32,Month-to-month,DSL,Yes,Electronic Check,133,2,No
1026,57,Female,69,114.01,7866.69,Month-to-month,DSL,No,Credit Card,197,5,No
1027,21,Male,12,73.08,876.96,Month-to-month,DSL,No,Bank Transfer,69,3,No
